S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
TITLE III SEC. 301.(f)(2)		individual, benefits, purposes, income, amount	SEC. 5.(f)	FEDERAL PROGRAMS AND FEDERAL ASSISTED PROGRAMS.—The carbon fee rebate payment received by any eligible individual shall not be taken into account as income and shall not be taken into account as resources for purposes of determining the eligibility of such individual or any other individual for benefits or assistance, or the amount or extent of benefits or assistance, under any Federal program or under any State or local program financed in whole or in part with Federal funds.
TITLE III SEC. 301.(f)(2)		applicable, period, act, u.s.c, seq	SEC. 6.(c)(4)	INELIGIBILITY.—A person that is determined to be in violation of any applicable water or air quality regulation, including under the Federal Water Pollution Control Act (33 U.S.C. 1251 et seq.) (including regulations), shall not be eligible for any payment under paragraph (1) during the period of the violation.
TITLE III SEC. 301.(f)(3)	PERIOD OF COVERAGE WITH RESPECT TO COBRA CONTINUATION COVERAGE.—For purposes of this subsection, the following shall apply:			
TITLE III SEC. 301.(f)(3)(A)	IN GENERAL.—Subject to subparagraph (B), with respect to a qualified individual or qualified beneficiary who is receiving continuation coverage pursuant to part 6 of subtitle B of title I of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1161 et seq.) and 4980B of the Internal Revenue Code of 1986, the period of coverage described in section 602(2) of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1162(2)) and section 4980B(f)(2)(B) of the Internal Revenue Code of 1986 is deemed to extend to the date which is 5 years after termination of the qualified individual’s employment.	subject, individual, internal, revenue, code	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(f)(3)(A)		respect, individual, internal, revenue, code	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(f)(3)(B)	END OF PLAN.—With respect to a qualified individual and qualified beneficiaries described in subparagraph (A), if the employer ceases to provide any group health plan to any employee before the period of coverage described in such subparagraph ends, or if the qualified individual and qualified beneficiaries become ineligible for continuation coverage (other than for reasons described in paragraph (4)(A)(ii)), such qualified individual and qualified beneficiaries shall be eligible for benefits described in paragraph (1)(B).			
	(A)(ii)), such qualified individual and qualified beneficiaries shall be eligible for benefits described in paragraph (1)(B).			
TITLE III SEC. 301.(f)(4)	DURATION OF BENEFITS.—			
TITLE III SEC. 301.(f)(4)(A)	BENEFITS WITH RESPECT TO COBRA CONTINUATION COVERAGE.—The benefits described in paragraph (1)(A) shall continue until the earlier of—			
TITLE III SEC. 301.(f)(4)(A)(i)	the date that is 5 years after closure of a coal mine or coal power plant; or			
TITLE III SEC. 301.(f)(4)(A)(ii)	the date on which the qualified individual or qualified beneficiary becomes ineligible for continuation coverage pursuant to subparagraph (C) or (D)(ii) of section 602(2) of Employee Retirement Income Security Act of 1974 (29 U.S.C. 1162(2)) or clause (iii) or (iv) of section 4980B(f)(2)(B) of the Internal Revenue Code of 1986.			
TITLE III SEC. 301.(f)(4)(B)	OTHER BENEFITS.—The benefits described in paragraph (1)(B) shall continue until the earlier of—			
TITLE III SEC. 301.(f)(4)(B)(i)	the date that is 5 years after closure of a coal mine or coal power plant; or			
TITLE III SEC. 301.(f)(4)(B)(ii)	the date on which the qualified individual or qualified beneficiary becomes eligible for benefits under title XVIII of the Social Security Act (42 U.S.C. 1395 et seq.).			
TITLE III SEC. 301.(f)(4)(C)	SPECIAL RULE.—With respect to a qualified individual and qualified beneficiaries, section 602(2)(C) of the Employee Retirement Income Security Act of 1974 and section 4980B(f)(2)(B)(iii) of the Internal Revenue Code of 1986 shall apply only if, with respect to such individual and beneficiaries, at least 2 consecutive premium payments are not made.	individual, internal, revenue, code, payments	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(f)(4)(C)		respect, individual, internal, revenue, code	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(f)(5)	DEFINITIONS.—In this subsection—			
TITLE III SEC. 301.(f)(5)(A)	the terms ‘‘group health plan’’, ‘‘health insurance coverage’’, and ‘‘health insurance issuer’’ have the meanings given such terms in section 733 of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1191b); and			
TITLE III SEC. 301.(f)(5)(B)	the term ‘‘qualified beneficiary’’ has the meaning given such term in section 607(3)(A) of the Employee Retirement Income Security Act of 1974 (29 U.S.C. 1167(3)(A)).	term, meaning, security, act, u.s.c		has the meaning given such term in section 901 of the Energy Independence and Security Act of 2007 (42 U.S.C. 17321), and (B) includes any other gases identified by rule of the Administrator.
TITLE III SEC. 301.(g)	RETIREMENT SAVINGS CONTRIBUTIONS.—			
TITLE III SEC. 301.(g)(1)	IN GENERAL.—In the case of a qualified individual, the Secretary shall pay to such individual amounts equal to the amount of employer contributions (other than elective deferrals) which were made to a qualified retirement plan (as defined in section 4974(c) of the Internal Revenue Code of 1986) of the individual as of the last month the individual was employed by the employer. Such payments shall be made on the same schedule as employer contributions under the plan.	individual, secretary, amounts, internal, revenue, code, payments	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(g)(1)		individual, amounts, equal, amount, internal, revenue, code	SEC. 5.(c)(1)	IN GENERAL.—With respect to each quarter during any fiscal year beginning after September 30, 2023, the carbon fee rebate payment is 1 pro-rata share for each eligible individual of an amount equal to 25 percent of amounts apportioned under section 9512(c)(1)(A) of the Internal Revenue Code of 1986 for such fiscal year.
TITLE III SEC. 301.(g)(1)		secretary, amounts, internal, revenue, code	SEC. 7.(h)(2)	AMERICA’S CLEAN FUTURE FUND.—The Secretary shall carry out this section using amounts made available from the America’s Clean Future Fund under section 9512 of the Internal Revenue Code of 1986 (as added by section 4).
TITLE III SEC. 301.(g)(2)	LIMITATION.—No payment shall be made under paragraph (1) after the date which is 60 months after the closure of the coal mine or coal power plant at which the individual was employed, unless such payment is made with respect to a period ending before such date.			
TITLE III SEC. 301.(g)(3)	TAX TREATMENT OF CONTRIBUTIONS.—If the qualified individual demonstrates that the payments made under paragraph (1) are contributed to a qualified retirement plan (as so defined) of the individual, such payments shall be treated for purposes of the Internal Revenue Code of 1986 as if they had been made as employer contributions.	individual, payments, internal, revenue, code	SEC. 5.(b)	REBATES.—Subject to subsections (c)(2) and (k), from amounts in the America’s Clean Future Fund established by section 9512(c)(1)(A) of the Internal Revenue Code of 1986 that are available in any year, the Secretary shall, for each calendar quarter beginning after September 30, 2023, make carbon fee rebate payments to each eligible individual, to be known as ‘‘America’s Clean Future Fund Stimulus payments’’ (referred to in this section as ‘‘carbon fee rebate payments’’).
TITLE III SEC. 301.(h)	EDUCATIONAL BENEFITS.—			
TITLE III SEC. 301.(h)(1)	DEFINITIONS.—In this subsection:			
TITLE III SEC. 301.(h)(1)(A)	CHILD.—The term ‘‘child’’ means, with respect to any qualified individual, a son or daughter of such individual.			
